abnormal,[Ab5nC:mEl],"adj.反常的, 变态的"
misfortune,[mis5fC:tFEn],"n.不幸, 灾祸"
missionary,[5miFEnEri],"adj.传教的, 传教士的//n.传教士"
mobilize,[5mEubilaiz],v.动员
mock,[mCk],"v.嘲笑, 骗, 挫败, 嘲弄//adj.假的//n.嘲弄, 模仿, 仿制品"
momentum,[mEu5mentEm],"n.动力, 要素"
monopoly,[mE5nCpEli],"n.垄断, 垄断者, 专利权, 专利事业"
monster,[5mCnstE],"n.怪物, 妖怪"
morality,[mC5rAliti],adj.道德的//n.道德
mortal,[5mC:tl],"n.凡人, 人类//adj.必死的, 致命的, 人类的, 临终的//adj.<口>极端的, 非常大(长)的"
mortgage,[5mC:gidV],n.抵押//v.抵押
motel,[mEu5tel],n.汽车旅馆
mourn,[mC:n],"v.哀悼, 忧伤, 服丧"
muddy,[5mQdi],"adj.多泥的, 泥泞的"
multitude,[5mQltitju:d],"n.多数, 群众"
municipal,[mju(:)5nisipEl],"adj.市政的, 市立的, 地方性的, 地方自治的"
murmur,[5mE:mE],"n.低沉连续的声音, 咕哝, 怨言, 低语//v.发低沉连续的声音, 发怨言, 低声说, 低语"
muscular,[5mQskjulE],"adj.肌肉的, 强健的"
mutter,[5mQtE],"n.咕哝, 嘀咕//v.咕哝, 嘀咕"
myth,[miW],"n.神话, 神话式的人物(或事物), 虚构的故事, 荒诞的说法"
naive,[nB:5i:v],adj.天真的
narrative,[5nArEtiv],adj.叙述性的//n.叙述
nasty,[5nAsti],"adj.污秽的, 肮脏的, 令人厌恶的, 淫秽的, 下流的, 凶相的, 威胁的"
necessitate,[ni5sesiteit],v.成为必要
negligible,[5neglidVEbl],"adj.可以忽略的, 不予重视的"
negotiate,[ni5gEuFieit],"v.(与某人)商议, 谈判, 磋商, ,买卖, 让渡(支票、债券等), 通过, 越过"
nickel,[5nikl],"n.[化]镍, 镍币, (美国和加拿大的)五分镍币//vt.镀镍于"
nightmare,[5naitmeE(r); 可怕的事物],"n.梦魇, 恶梦, 可怕的事物"
nominal,[5nCminl],"adj.名义上的, 有名无实的, 名字的, [语]名词性的//n.名词性词"
nominate,[5nCmineit],"vt.提名, 推荐, 任命, 命名"
nonetheless,[7nQnTE5les],"adv.虽然如此, 但是"
norm,[nC:m],"n.标准, 规范"
notable,[5nEutEbl],"adj.值得注意的, 显著的, 著名的"
notation,[nEu5teiFEn],n.符号
notify,[5nEutifai],v.通报
notion,[5nEuFEn],"n.概念, 观念, 想法, 意见, 打算, 主张, (复数)<美语>小饰物"
notorious,[nEu5tC:riEs],adj.声名狼籍的
notwithstanding,[7nCtwiW5stAndiN],"prep.虽然, 尽管//adv.尽管, 还是//conj.虽然, 尽管"
nourish,[5nQriF],"vt.滋养, 使健壮, 怀有(希望,仇恨等),"
novelty,[5nCvElti],"n.新颖, 新奇, 新鲜, 新奇的事物"
numerical,[nju(:)5merikEl],"adj.数字的, 用数表示的//adj.数字的,用数字表示的"
nutrition,[nju:5triFEn],"n.营养, 营养学"
oath,[5EuW],"n.誓言, 宣誓, 诅咒"
obedient,[E5bi:djEnt; -diEnt],"adj.服从的, 孝顺的"
obligation,[7Cbli5geiFEn],"n.义务, 职责, 债务"
obscene,[Cb5si:n],"adj.淫秽的, 猥亵的"
obscure,[Eb5skjuE],"adj.暗的, 朦胧的, 模糊的, 晦涩的//vt.使暗, 使不明显"
odor,[5EudE],"n.气味, 名声"
offence,[E5fens],"n.犯罪, 冒犯, 违反, 罪过, 过错//n.[军] 攻击"
offensive,[E5fensiv],"adj.讨厌的, 无礼的, 攻击性的//n.进攻, 攻势"
offset,[5C:fset],"n.偏移量, 抵销, 弥补, 分支, 平版印刷, 胶印//vt.弥补, 抵销, 用平版印刷//vi.偏移, 形成分支"
offspring,[5CfspriN; (?@) 5C:f-],"n.(单复数同形)儿女, 子孙, 后代, 产物"
opaque,[Eu5peik],"n.不透明物//adj.不透明的, 不传热的, 迟钝的"
oppress,[E5pres],"vt.压迫, 压抑"
optimism,[5CptimizEm],"n.乐观, 乐观主义"
optimum,[5CptimEm],n.最适宜//adj.最适宜的
option,[5CpFEn],"n.选项, 选择权, [经]买卖的特权"
orient,[5C:riEnt],"n.东方, 东方诸国(指地中海以东各国)//adj.东方的, 上升的, 灿烂的//vi.适应形势, 向东//vt.使朝东, 使适应, 确定方向"
oriental,[7C(:)ri5entl],"n.东方人(尤指中国人和日本人)//adj.东方诸国的, 亚洲的, 东方的, (珍珠等)最优质的"
orientation,[7C(:)rien5teiFEn],"n.方向, 方位, 定位, 倾向性, 向东方"
originate,[E5ridVineit],"vt.引起, 发明, 发起, 创办//vi.起源, 发生"
ornament,[5C:nEmEnt],"n.装饰物, 教堂用品//vt.装饰, 修饰"
orthodox,[5C:WEdCks],"adj.正统的, 传统的, 习惯的, 保守的, 东正教的"
outbreak,[5autbreik],"n.(战争的)爆发, (疾病的)发作"
oval,[5EuvEl],"adj.卵形的, 椭圆的//n.卵形, 椭圆形"
overflow,[5EuvE5flEu],"n.溢出, 超值, 泛滥, 充满, 洋溢//v.(使)泛滥, (使)溢出, (使)充溢"
overhear,[7EuvE5hiE],"vt.无意中听到, 偷听"
overlap,[5EuvE5lAp],v.(与...)交迭
overt,[5EuvE:t],"adj.明显的, 公然的"
overthrow,[7EuvE5WrEu],"n.推翻, 打倒, 扔得过远得球//vt.打倒, 推翻, 颠覆"
overwhelm,[5EuvE5welm],"vt.淹没, 覆没, 受打击, 制服, 压倒"
oxide,[5Cksaid],n.[化]氧化物
pamphlet,[5pAmflit],n.小册子
panic,[5pAnik],"n.惊慌, 恐慌, 没有理由的"
paradise,[5pArEdaiz],n.天堂
paradox,[5pArEdCks],"n.似非而是的论点, 自相矛盾的话"
paralyze,[5pArElaiz],"vt.使瘫痪, 使麻痹"
parameter,[pE5rAmitE],"n.参数, 参量, <口>起限定作用的因素"
participant,[pB:5tisipEnt],"n.参与者, 共享者//adj.参与的"
partition,[pB:5tiFEn],"n.分割, 划分, 瓜分, 分开, 隔离物//vt.区分, 隔开, 分割"
pastime,[5pB:staim],"n.消遣, 娱乐"
pasture,[5pB:stFE],"n.牧地, 草原, 牧场//v.放牧, 牧(牛、羊)等, 吃草"
patent,[5peitEnt; 5pAtEnt],"n.专利权, 执照, 专利品//adj.特许的, 专利的, 显著的, 明白的, 新奇的//vt.取得...的专利权, 请准专利"
pathetic,[pE5Wetik],"adj.可怜的, 悲惨的"
patriotic,[7pAtri5Ctik; 7peitri-],"adj.爱国的, 有爱国心的"
patrol,[pE5trEul],"v.出巡, 巡逻//n.巡逻"
pave,[peiv],v.铺
pearl,[pE:l],n.珍珠
pedal,[5pedl],n.踏板//v.踩...的踏板
pedestrian,[pe5destriEn],"n.步行者//adj.徒步的, 呆板的, 通俗的"
peel,[pi:l],"v.剥, 削, 剥落"
peer,[piE],"n.同等的人, 贵族//vi.凝视, 窥视//vt.与...同等, 封为贵族"
penalty,[5penlti],"n.处罚, 罚款"
pendulum,[5pendjulEm],"n.钟摆, 摇锤"
pension,[5penFEn],"n.养老金, 退休金"
perception,[pE5sepFEn],"n.理解//感知,感觉//DPS公司出的数字影像压缩卡"
perfection,[pE5fekFEn],"n.尽善尽美, 完美, 完成"
perfume,[5pE:fju:m],"n.香味, 芳香, 香水//vt.使发香, 洒香水于, 发香味"
periodic,[piEri5Cdik],"adj.周期的, 定期的"
periodical,[7piEri5CdikEl],"adj.周期的, 定期的//n.期刊, 杂志"
perish,[5periF],"vi.毁灭, 死亡, 腐烂, 枯萎//vt.毁坏, 使麻木"
permeate,[5pE:mieit],"vt.弥漫, 渗透, 透过, 充满//vi.透入"
permissible,[pE(:)5misEbl],adj.可允许的
perpetual,[pE5petjuEl],adj.永久的
perplex,[pE5pleks],v.困惑
persistent,[pE5sistEnt],adj.持久稳固的
pest,[pest],n.有害物
petition,[pi5tiFEn],"n.请愿, 情愿书, 诉状, 陈情书//v.请求, 恳求, 请愿"
petty,[5peti],"adj.小的, 不重要的, 小规模的, 小型的, 细微的, 小器的, 卑鄙的"
physiological,[7fiziE5lCdVikEl],"adj.生理学的, 生理学上的"
plague,[pleig],"n.瘟疫, 麻烦, 苦恼, 灾祸//vt.折磨, 使苦恼, 使得灾祸"
plaster,[5plB:stE],"n.石膏, 灰泥, 膏药, 橡皮膏//vt.涂以灰泥, 敷以膏药, 减轻, 粘贴, 重创"
plateau,[5plAtEu; plA5tEu],"n.高地, 高原(上升后的)稳定水平(或时期、状态)封为贵族"
plausible,[5plC:zEbl],adj.似是而非的
plea,[pli:],"n.恳求, 请求, 辩解, 藉口"
plead,[pli:d],"vi.辩护, 恳求//vt.为...辩护, 借口, 托称"
pledge,[pledV],"n.保证, 誓言, 抵押, 抵押品//vt.保证, 使发誓, 抵押, 典当, 举杯祝...健康"
poke,[pEuk],"n.刺, 戳, 懒汉, 袋子//vt.戳, 捅, 拨开, 刺//vi.戳, 刺, 捅, 伸出, 刺探, 闲荡"
polar,[5pEulE],"adj.[天]两极的, 极地的, 南辕北辙的, 南极的, (北极星似的)指引的, 极性的, 北极的//n.极线, 极面"
poll,[pEul],"n.选举之投票, 民意测验//v.投票, 获得选票, 选举中获得"
ponder,[5pCndE],"v.沉思, 考虑"
pope,[pu:p],"n.罗马教皇, 主教, 蒲柏(1688-1744,英国诗人), 大腿上要害部位//vt.打大腿上要害部位"
porch,[pC:tF],"n.门廊, 走廊"
pore,[pC:; pCE],"n.毛孔, 小孔, 气孔//vi.熟读, 凝视, 细想, 沉思//vt.因凝视过度使...疲劳"
portray,[pC:5trei],v.描绘
pose,[pEuz],"n.姿势, 姿态//v.(使...)摆好姿势, 形成, 引起, 造成//vi.摆姿势, 佯装, 矫揉造作"
poster,[5pEustE],"n.海报, 招贴, (布告, 标语, 海报等的)张贴者"
postulate,[5pCstjuleit],"n.假定, 基本条件, 基本原理//vt.要求, 假定//vi.要求"
practicable,[5prAktikEbl],"adj.能实行的, 行得通的, 可以实行的"
prayer,[prZE],n.祈祷
preach,[pri:tF],v.鼓吹
precede,[pri(:)5si:d],"v.领先(于), 在...之前, 先于"
precipitate,[pri5sipiteit],"n.沉淀物//vt.猛抛, 使陷入, 促成, 使沉淀//vi.猛地落下//adj.突如其来的, 陡然下降(或下落)的, 贸然轻率的"
preclude,[pri5klu:d],n.排除
predecessor,[5pri:disesE],"n.前辈, 前任, (被取代的)原有事物"
predominant,[pri5dCminEnt],"adj.卓越的, 支配的, 主要的, 突出的, 有影响的"
pregnant,[5pregnEnt],"adj.怀孕的, 重要的, 富有意义的, 孕育的"
premature,[7premE5tjuE],"adj.未成熟的, 太早的, 早熟的"
premise,[5premis],"n.[逻][法]前提, (企业, 机构等使用的)房屋连地基//vt.提论, 预述, 假定//vi.作出前提"
premium,[5primjEm],"n.额外费用, 奖金, 奖赏, 保险费, (货币兑现的)贴水"
prescription,[pri5skripFEn],"n.指示, 规定, 命令, 处方, 药方"
presentation,[7prezen5teiFEn],"n.介绍, 陈述, 赠送, 表达"
preside,[pri5zaid],v.主持
prestige,[pres5ti:V; -5ti:dV],"n.声望, 威望, 威信"
presumably,[pri5zju:mEbEli],"adv.推测起来, 大概"
presume,[pri5zju:m],"vt.假定, 假设, 认为"
pretext,[5pri:tekst],"n.借口, 托辞//v.借口"
prevalent,[5prevElEnt],"adj.普遍的, 流行的"
prey,[prei],"n.被掠食者, 牺牲者, 掠食//vi.捕食, 掠夺, 折磨"
priest,[pri:st],n.牧师
priority,[prai5Criti],"n.先, 前, 优先, 优先权"
privacy,[5praivEsi],"n.独处而不受干扰, 秘密"
probe,[prEub],"n.探针, 探测器//vt.(以探针等)探查, 查明"
proceeding,[prE5si:diN],"n.行动, 进行,会议录, 学报"
proclaim,[prE5kleim],"vt.宣布, 声明, 显示, 显露"
productive,[prE5dQktiv],"adj.生产性的, 生产的, 能产的, 多产的"
productivity,[7prCdQk5tiviti],n.生产力
proficiency,[prE5fiFEnsi],"n.熟练, 精通, 熟练程度"
profile,[5prEufail],"n.剖面, 侧面, 外形, 轮廓"
profitable,[],adj.有利可图的
profound,[prE5faund],"adj.深刻的, 意义深远的, 渊博的, 造诣深的"
prolong,[prE5lCN],"vt.延长, 拖延"
promising,[5prCmisiN],"adj.有希望的, 有前途的"
prone,[prEun],adj.倾向于
propaganda,[7prCpE5gAndE],"n.宣传, [天主教]传道总会"
propagate,[5prCpEgeit],"v.繁殖, 传播, 宣传"
propel,[prE5pel],"vt.推进, 驱使"
prophet,[5prCfit],"n.先知, 预言者, 提倡者"
proposition,[7prCpE5ziFEn],"n.主张, 建议, 陈述, 命题"
prose,[prEuz],n.散文
prospective,[prEs5pektiv],adj.预期的
prototype,[5prEutEtaip],n.原型
provocative,[prE5vCkEtiv],adj.煽动的//n.刺激物
provoke,[prE5vEuk],"vt.激怒, 挑拨, 煽动, 惹起, 驱使"
proximity,[prCk5simiti],"n.接近, 亲近"
publicity,[pQb5lisiti],n.公开
purify,[5pjuErifai],vt.使纯净//v.净化
purity,[5pjuEriti],"n.纯净, 纯洁, 纯度"
pursuit,[pE5sju:t],n.追击
qualification,[7kwClifi5keiFEn],"n.资格, 条件, 限制, 限定, 赋予资格"
qualitative,[5kwClitEtiv],"adj.性质上的, 定性的"
quantify,[5kwCntifai],vt.确定数量//v.量化
quantitative,[5kwCntitEtiv],"adj.数量的, 定量的"
quart,[kB:t],n.夸脱(容量单位)13
quarterly,[5kwC:tEli],"n.季刊//adj.一年四次的, 每季的//adv.每季地"
quartz,[kwC:ts],n.石英
queer,[kwiE],"n.同性恋者//adj.奇怪的, 可疑的，不舒服的//vt.搞糟//n.同性恋者"
quench,[kwentF],"vt.结束, 熄灭，淬火//vi.熄灭, 平息"
quest,[kwest],n.寻求
questionnaire,[7kwestiE5nZE; -tFE-],"n.调查表, 问卷"
quiver,[5kwivE],"n.震动, 颤抖, 箭袋, 箭袋中的箭//vi.颤抖, 振动, 射中//vt.使颤动//adj.敏捷的"
racket,[5rAkit],"n.球拍, 喧闹纷乱//v.过着花天酒地的生活"
radiant,[5reidjEnt],"adj.发光的, 辐射的, 容光焕发的"
radiate,[5reidieit],"vt.放射, 辐射, 传播, 广播//vi.发光, 辐射, 流露//adj.有射线的, 辐射状的"
radical,[5rAdikEl],"adj.根本的, 基本的, 激进的//n.激进分子"
rage,[reidV],"n.愤怒, 情绪激动, 狂暴, 精神错乱//vi.大怒, 狂吹, 风行"
raid,[reid],"n.袭击, 搜捕//v.奇袭, 搜捕"
rally,[5rAli],"v.重整旗鼓, 给予新力量, (使)恢复健康, 力量, 决心, 集结//n.集会"
random,[5rAndEm],"n.随意, 任意//adj.任意的, 随便的, 胡乱的//adv.胡乱地"
rating,[5reitiN],"n.等级级别(尤指军阶), 额定, 责骂, 申斥"
readily,[5redili],"adv.乐意地, 欣然, 容易地"
realistic,[riE5listik],adj.现实(主义)的
reap,[ri:p],"v.收割, 收获"
rebellion,[ri5beljEn],"n.谋反, 叛乱, 反抗, 不服从"
recession,[ri5seFEn],"n.撤回, 退回, 退后, 工商业之衰退, 不景气"
recipe,[5resipi],n.处方
recipient,[ri5sipiEnt],"adj.容易接受的, 感受性强的//n.容纳者, 容器"
reciprocal,[ri5siprEkEl],"adj.互惠的, 相应的, 倒数的, 彼此相反的//n.倒数, 互相起作用的事物"
recite,[ri5sait],"v.背诵, 朗读, 叙述, [律]书面陈述(事实)"
reckless,[5reklis],adj.不计后果的
reckon,[5rekEn],"vt.计算, 总计, 估计, 猜想//vi.数, 计算, 估计, 依赖, 料想"
reclaim,[ri5kleim],"vt.要求归还, 收回, 开垦"
reconcile,[5rekEnsail],"vt.使和解, 使和谐, 使顺从"
recreation,[rekri5eiF(E)n],"n.消遣, 娱乐"
recruit,[ri5kru:t],"n.新兵, 新分子, 新会员//vt.使恢复, 补充, 征募//vi.征募新兵, 复原"
rectangular,[rek5tANgjulE],"adj.矩形的, 成直角的"
rectify,[5rektifai],"vt.矫正, 调整, [化]精馏"
recur,[ri5kE:],"vi.复发, 重现, 再来"
recycle,[5ri:5saikl],"v.使再循环, 反复应用//n.再循环, 再生, 重复利用"
redundant,[ri5dQndEnt],adj.多余的
refrain,[ri5frein],"n.重复, 叠句, [乐]副歌//vi.节制, 避免, 制止"
refreshment,[ri5freFmEnt],"n.点心, 饮料, 精力恢复, 爽快"
refugee,[7refju(:)5dVi:],"n.难民, 流亡者"
refute,[ri5fju:t],"vt.驳倒, 反驳"
regime,[rei5Vi:m],"n.政体, 政权, 政权制度"
reign,[rein],"vi.统治, 支配, 盛行, 占优势//n.统治, 统治时期, 支配"
rejoice,[ri5dVCis],"v.(使)欣喜, (使)高兴, 喜悦"
relay,[5ri:lei],"n.驿马, 接替, [电工]继电器//vt.(消息, 货物等)分程传递, 使接替, 转播//vi.得到接替, 转播"
reliance,[ri5laiEns],"n.信任, 信心, 依靠, 依靠的人或物"
remainder,[ri5meindE],"n.残余, 剩余物, 其他的人, [数]余数//v.廉价出售//adj.剩余的, 出售剩书的"
remnant,[5remnEnt],"n.残余, 剩余, 零料, 残迹//adj.剩余的, 残留的"
renaissance,[rE5neisEns],"n.复兴, 复活, 新生, 文艺复兴, 文艺复兴时期"
repay,[ri(:)5pei],"v.偿还, 报答, 报复"
repel,[ri5pel],"vt.击退, 抵制, 使厌恶, 使不愉快"
repertoire,[5repEtwB:],"n.(准备好演出的)节目, 保留剧目, (计算机的)指令表, 指令系统, <美>(某个人的)全部技能"
replacement,[ri5pleismEnt],"n.归还, 复位, 交换, 代替者, 补充兵员, 置换, 移位"
representation,[7reprizen5teiFEn],"n.表示法, 表现, 陈述, 请求, 扮演, 画像, 继承, 代表"
reproach,[ri5prEutF],v.责备
republican,[ri5pQblikEn],"adj.共和国的, 共和政体的, 共和主义的, 有关共和的//n.共和党人"
resemblance,[ri5zemblEns],n.类同之处
resent,[ri5zent],"v.愤恨, 怨恨"
reservation,[7rezE5veiFEn],"n.保留, (旅馆房间等)预定, 预约"
reside,[ri5zaid],vi.居住
residential,[7rezi5denFEl],"adj.住宅的, 与居住有关的"
resonance,[5rezEnEns],"n.共鸣, 回声, 反响, 中介, 谐振, 共振, 共振子, 极短命的不稳定基本粒子"
resultant,[ri5zQltEnt],"adj.作为结果而发生的, 合成的"
retail,[5ri:teil],"n.零售//adj.零售的//vt.零售, 转述//vi.零售//adv.以零售方式"
retention,[ri5tenFEn],保持力
retort,[ri5tC:t],"v.反驳, 反击, 回报//n.曲颈甑, 曲颈瓶, 蒸器"
retrieve,[ri5tri:v],v.重新得到//n.找回
retrospect,[5retrEuspekt],n.回顾
revelation,[7revi5leiFEn],"n.显示, 揭露, 被揭露的事, 新发现, 启示, 揭示"
revenge,[ri5vendV],"n.报仇, 复仇//vt.替...报仇, 复仇"
revive,[ri5vaiv],"v.(使)苏醒, (使)复兴, (使)复活, (使)再生效, 回想"
revolve,[ri5vClv],"v.(使)旋转, 考虑, 循环出现"
rig,[rig],"n.索具装备, 钻探设备, 钻探平台, 钻塔//v.装上索具, 配备, 装配"
rigorous,[5rigErEs],"adj.严格的, 严厉的, 严酷的, 严峻的"
rim,[rim],"n.边, 轮缘, 蓝框//vt.镶边, 为...装边, 沿...边缘滚动//vi.形成边状"
riot,[5raiEt],"n.暴乱, 骚动, (植物, 疾病等)蔓延, 放荡, 暴动//v.骚乱, 放纵, 挥霍, 参加骚动"
rip,[rip],"v.撕, 剥, 劈, 锯, 裂开, 撕裂//n.裂口, 裂缝"
ripple,[5ripl],n.波纹//v.起波纹
ritual,[5ritjuEl],"n.典礼, (宗教)仪式, 礼节//adj.典礼的, (宗教)仪式的"
robust,[rE5bQst],adj.精力充沛的
romance,[rE5mAns; rEu-],"n.冒险故事, 浪漫史, 传奇文学, 风流韵事, 虚构//vi.写传奇, 渲染, 虚构"
rot,[rCt],"v.(使)腐烂, (使)腐败//n.腐烂, 腐败"
royalty,[5rCiElti],"n.皇室, 王权"
rupture,[5rQptFE(r)? 断绝(关系等); 割裂n.破裂; 决裂; 敌对; 割裂],"v.破裂, 裂开, 断绝(关系等), 割裂//n.破裂, 决裂, 敌对, 割裂"
safeguard,[5seif7gB:d],"vt.维护, 保护, 捍卫//n.安全装置, 安全措施"
saint,[seint; sEnt],"n.圣人, 道德崇高的人, 圣徒//adj.神圣//v.成为圣徒"
sanction,[5sANkFEn],"n.批准, 同意, 支持, 制裁, 认可//v.批准, 同意, 支持, 鼓励, 认可"
saturate,[5sAtFEreit],"v.使饱和, 浸透, 使充满"
sauce,[sC:s],"n.沙司, 酱油, 调味料//vt.调味, 使增加趣味"
savage,[5sAvidV],"adj.野蛮的, 未开化的, 凶猛的, 残忍的//vt.用暴力对付//n.原始的人, 粗鲁的人"
scandal,[5skAndl],"n.丑行,丑闻,诽谤,耻辱,流言蜚语"
scar,[skB:],"n.伤痕,疤痕//v.结疤,使留下伤痕,创伤"
scared,[skZEd],adj.恐惧的
scent,[sent],"n.气味, 香味, 香水, 线索, 嗅觉, 臭迹//vt.闻出, 嗅, 发觉, 循着遗臭追踪, 使充满气味//vi.嗅猎, 发出气味"
sceptical,[5skeptikEl],"adj.怀疑论的, 怀疑的"
scorn,[skC:n],"n.轻蔑, 嘲笑, 被叱责的人//vt.轻蔑, 不屑做"
scrap,[skrAp],"n.小片, 废料, 剪下来的图片, 文章, 残余物, 废料, 打架//vt.扔弃, 敲碎, 拆毁//vi.互相殴打//adj.零碎的, 废弃的"
script,[skript],"n.手稿, 手迹, 剧本, 考生的笔试卷, 原本"
scrutiny,[5skru:tini],n.详细审查
sculpture,[5skQlptFE],"n.雕刻, 雕刻品, 雕塑, 雕塑品, [地理] 刻蚀//v.雕刻, 雕塑, 刻蚀"
seam,[si:m],"n.接缝, 线缝, 缝合线, 衔接口, 伤疤, 层//vt.缝合, 接合, 焊合, 使留下伤痕//vi.裂开, 发生裂痕"
sector,[5sektE],"n.部分, 部门, [计]扇区, 地区, 象限, 扇形//v.使分成部分, 把...分成扇形"
seemingly,[5si:miNli],adv.表面上地
segment,[5segmEnt],"n.段, 节, 片断//v.分割"
segregate,[5segrigeit],v.隔离
seminar,[5seminB:],"n.研究会, 讨论发表会"
senator,[5senEtE],"n.参议员, (大学的)评议员, (古罗马的)元老院议员"
sensation,[sen5seiFEn],"n.感觉, 感情, 感动, 耸人听闻的"
sentiment,[5sentimEnt],"n.情操, 情感, 情绪, 观点, 多愁善感, 感情"
sexual,[5seksjuEl],"adj.性的, 性别的, [生]有性的"
shabby,[5FAbi],"adj.破旧的, 褴褛的, 低劣的, 卑鄙的, 不公平的"
shaft,[FB:ft],"n.轴, 杆状物"
shatter,[5FAtE],"n.粉碎, 碎片, 落花(叶,粒等)//vt.打碎, 使散开, 粉碎, 破坏//vi.粉碎, 损坏, 落叶"
sheer,[FiE],"adj.全然的, 纯粹的, 绝对的, 彻底的, 透明的, 峻峭的//vi.避开, 躲避, 偏航//vt.使避开, 使偏航//adv.完全, 全然, 峻峭//n.偏航"
shipment,[5FipmEnt],"n.装船, 出货"
shrewd,[Fru:d],adj.精明
shrug,[FrQg],n.耸肩//v.耸肩
shutter,[5FQtE],"n.关闭者, 百叶窗, 快门, <美俚>安眠药//vt.关上, 装以遮门, 以百叶窗遮闭"
shuttle,[5FQtl],"n.往返汽车(列车、飞机), 航天飞机, 梭子, 穿梭//v.穿梭往返"
signify,[5signifai],"vt.表示, 意味//vi.要紧, 有重要性//v.颇为重要, 表示"
silicon,[5silikEn],"n.[化]硅, 硅元素"
simulate,[5simjuleit],"vt.模拟, 模仿, 假装, 冒充"
simultaneous,[7simEl5teinjEs],"adj.同时的, 同时发生的"
sin,[sin],"n.[俗] 违背习俗, 不合情理之事, 过失, 罪过, [数学] 正弦函数"
situated,[5sitjueitid],"adj.位于,被置于境遇,处于...的立场"
skeleton,[5skelitEn],"n.(动物之)骨架, 骨骼, 基干, 纲要, 万能钥匙"
skeptical,[5skeptikEl],"adj.怀疑性的,好怀疑的,<口>无神论的"
skip,[skip],"v.跳, 蹦, 急速改变, 跳读, 遗漏, 跳跃//n.跳跃"
slack,[slAk],"n.松弛, 静止, 淡季, 闲散, 家常裤//adj.松弛的, 不流畅的, 疏忽的, 软弱的, 漏水的, 呆滞的, 懒散的//adv.马虎地, 缓慢地//vt.使松弛, 使缓慢, 马虎从事//vi.松懈, 减弱, 松驰"
slap,[slAp],"vt.拍, 掌击, 拍击//n.拍, 掌击, 拍击"
slaughter,[5slC:tE],"n.屠宰, 残杀, 屠杀//v.屠宰, 残杀, 屠杀"
slim,[slim],"adj.苗条的, 纤细的, 不足取的, 无价值的, 细长的//v.变细, 减肥"
slogan,[5slEugEn],"n.口号, 标语"
slot,[slCt],"n.缝, 狭槽, 位置, 水沟, 细长的孔, 硬币投币口, 狭通道, 足迹//vt.开槽于, 跟踪"
slum,[slQm],n.贫民窟//vi.访问贫民区
smash,[smAF],"v.打碎, 粉碎//n.打碎, 粉碎//adj.出色的"
smuggle,[5smQgl],"n.走私, 偷带//v.走私"
snack,[snAk],"n.小吃, 快餐, 一份//v.吃快餐(小吃)值的, 细长的"
snap,[snAp],"v.猛地吸住, 突然折断, 使劈啪地晌, 猛咬//n.猛咬, 突然折断, 劈啪声//adj.突然的"
snatch,[snAtF],v.攫取//n.攫取
soar,[sC:; sCE],"v.高飞, 高丛, 滑翔, 剧增, 昂扬//n.高飞范围, 高涨程度"
sober,[5sEubE],adj.冷静的//v.镇定
sociology,[7sEusi5ClEdVi],n.社会学
software,[5sCftwZE],n.软件
solidarity,[7sCli5dAriti],n.团结
solitary,[5sClitEri],adj.孤独的
solo,[5sEulEu],n.独奏曲//adj.单独的
sovereign,[5sCvrin],"n.君主, 统治//adj.至高无上的, 君主的, 独立自主的, 完全的"
spacious,[5speiFEs],"adj.广大的, 大规模的"
sparkle,[5spB:kl],"v.发火花, (使)闪耀, (香槟酒等)发泡, 用眼神表达, 发光闪烁//n.火花, 闪光, 光彩, 活力, 发泡"
spatial,[5speiFEl],adj.空间的
speciality,[7speFi5Aliti],"n.特性, 特质, 专业, 特殊性"
species,[5spi:Fiz],"n.种类, (原)核素//n.[律]式样//n.[宗]圣餐物"
specifically,[spi5sifikEli],"adv.特定的, 明确的"
specification,[7spesifi5keiFEn],"n.详述, 规格, 说明书, 规范"
spectacle,[5spektEkl],"n.观览物, 展览物, 公开展示, 奇观, 景象, 光景, (a pair of ～s)眼镜"
spectacular,[spek5tAkjulE],"adj.引人入胜的, 壮观的"
spectator,[spek5teitE;5spekteitE],n.观众(指比赛或表演) 规范
spectrum,[5spektrEm],"n.光, 光谱, 型谱//频谱"
speculate,[5spekju7leit],"vi.推测, 思索, 做投机买卖"
spiral,[5spaiErEl],adj.螺旋形的//n.螺旋//v.盘旋
splash,[splAF],"n.溅, 飞溅, 斑点//v.溅, 泼, 溅湿"
spokesman,[5spEuksmEn],"n.发言人, 代表者"
sponge,[spQndV],"n.海绵, 海绵体, 海绵状物, (外科用的)棉球, 纱布//v.用海绵等冼涤、揩拭、擦拭或清除, 用海绵吸收(液体), (俗)依赖某人生活, 诈取某人钱财, 海绵般吸收"
spontaneous,[spCn5teinjEs; -niEs],"adj.自发的, 自然产生的"
spouse,[spauz],n.配偶(指夫或妻)Es
spy,[spai],"n.特工人员, 间谍, 侦探, 探员, 秘密侦察他人行动者//v.侦察, 侦察, 发现"
stabilize,[5steibilaiz],v.稳定
stagger,[5stAgE],"v.摇晃, 蹒跚, 交错, 摇摇摆摆//adj.交错的"
staircase,[5steEkeis],n.楼梯
stall,[stC:l],"n.货摊, 畜栏, 厩, 出售摊//v.(使)停转, (使)停止, 迟延"
startle,[5stB:tl],v.震惊
stationary,[5steiF(E)nEri],固定的
statistics,[stE5tistiks],"n.统计学, 统计表"
