abandon,[E5bAndEn],"vt.放弃, 遗弃//n.放任, 狂热"
haven,[5heivn],"n.港口, 避难所"
hawk,[hC:k],"n.鹰, 掠夺他人的人, 鹰派成员//vi.放鹰, 像鹰一般地袭击, 清嗓, 咳嗽//vt.捕捉, 咳出, 兜售, (沿街)叫卖, 散播"
hawthorn,[5hC:WC:n],n.山楂
hazard,[5hAzEd],"n.冒险, 危险, 冒险的事//vt.冒...的危险, 赌运气, 使遭危险"
hazardous,[5hAzEdEs],"adj.危险的, 冒险的, 碰运气的"
haze,[heiz],"n.薄雾, 疑惑, 阴霾//vt.使变朦胧, 使变糊涂, 使劳累//vi.变朦胧, 变糊涂"
hazy,[5heizi],"adj.朦胧的, 烟雾弥漫的, 模糊的"
head,[hed],"n.头, 头脑, 领袖, (队伍, 名单等)最前的部分, 人, 顶点//vt.作为...的首领, 朝向, 前进, 用头顶//vi.成头状物, 出发//adj.头的, 主要的"
headache,[5hedeik],"n.头痛, 令人头痛之事"
headstrong,[5hedstrCN; (?@) -strC:N],"adj.不听命令的, 顽固的, 刚愎的, 任性的"
heal,[hi:l],"v.治愈, 医治, 结束"
healthful,[5helWful],adj.有益健康的
healthy,[5helWi],"adj.健康的, 健壮的, 有益于健康的"
hear,[hiE],"vt.听到, 听说, 听取, 审理, 允许//vi.听见, 听到"
hearsay,[5hiEsei],"n.谣言, 传闻, 道听途说//adj.传闻的"
heave,[hi:v],v.举起//n.举起
heaven,[5hevEn],"n.天, 天空, 天堂"
hectic,[5hektik],"adj.脸上发红, 发热的, 兴奋的, 狂热的, 肺病的//n.脸红, 患肺结核"
heedless,[5hi:dlis],adj.不注意的
heel,[hi:l],"n.脚后跟, 踵, 跟部"
heinous,[5heinEs],"adj.可憎的, 极恶的"
heirship,[5ZEFip],继承权
help,[help],"n.帮忙, 补救办法, 助手, 治疗, <美>佣工//vt.帮助, 助长, 接济, 治疗, 款待//vi.有用, 救命, 招待//[计] 显示命令格式的简短概述"
helpless,[5helplis],"adj.无助的, 无能的, 没用的"
hemp,[hemp],"n.大麻, 纤维"
hereditary,[hi5reditEri],"adj.世袭的, 遗传的"
heredity,[hi5rediti],"n.遗传, 形质遗传"
heresy,[5herEsi],"n.异端, 异教"
hermit,[5hE:mit],"n.隐士, 隐居者"
heron,[5herEn],n.苍鹭的巢
herring,[5heriN],"n.青鱼, 鲱"
hesitate,[5heziteit],"v.犹豫, 踌躇, 不愿"
hew,[hju:],v.砍
hideous,[5hidiEs],"v.骇人听闻的, 可怕的//adj.丑恶的"
high,[hai],"n.高度, 高处//adj.高的, 高原的, 高等的, 高音的, 傲慢的, 高尚的, 昂贵的, 严重的//adv.高度地, 奢侈地, 高价地"
high-spirited,[],兴致勃勃
highlight,[5hailait],"n.加亮区, 精彩场面, 最显著(重要)部分//vt.加亮, 使显著, 以强光照射, 突出"
hike,[haik],"v.远足, 飞起, 步行//n.远足, 增加"
hilarious,[hi5lZEriEs],adj.欢闹的
hilarity,[hi5lAriti],n.欢闹
hinder,[5hindE],"adj.后面的//v.阻碍, 打扰"
hinge,[hindV],"n.（门、盖等的）铰链, 枢纽, 关键//vt.装铰链//v.装以绞链, 依...而转移"
hippopotamus,[7hipE5pCtEmEs],n.河马
hirsute,[5hE:sju:t],"adj.多毛的, 有粗毛的"
history,[5histEri],"n.历史, 历史学, 过去的事(的记载), 来历, 历史记录"
hoarse,[hC:s],adj.嘶哑的
hoax,[hEuks],v.愚弄//n.愚弄
hoist,[hCist],"n.提升间, 升起"
hold,[hEuld],"n.把握, 把持力, 柄, 控制, 监禁, 掌握, 货舱//vt.拿着, 保存, 支持, 占据, 持有, 拥有//vi.支持, 保持, 有效//n.控制, 保留"
holly,[5hCli],n.冬青树
holocaust,[5hClEkC:st],"n.大毁灭, 大屠杀"
homage,[5hCmidV],n.敬意
home,[hEum],"n.家, 住宅, 家乡, 本国, 产地, 避难所//adj.家庭的, 国内的, 有效的//adv.在家, 回家, 深入地, 在本国"
homework,[5hEumwE:k],"n.家庭作业, 副业"
homicide,[5hCmisaid],"n.杀人, 杀人者"
homily,[5hCmili],"n.[宗]（尤指讲解《圣经》的）布道, （冗长乏味的）说教"
homogeneous,[7hCmEu5dVi:njEs],"adj.同类的, 相似的, 均一的, 均匀的"
hopeful,[5hEupful],"adj.怀有希望的, 有希望的"
horizontal,[7hCri5zCntl],"adj.地平线的, 水平的"
horror,[5hCrE],"n.惊骇, 恐怖, 惨事, 极端厌恶"
hospitable,[5hCspitEbl],"adj.好客的, 招待周到的"
hospital,[5hCspitl],n.医院
hostile,[5hCstail],"adj.敌对的, 敌方的//n.敌对"
hotel,[hEu5tel],"n.旅馆, 客栈, <俚>监狱"
house,[haus],"n.房子, 住宅, 库房, 机构, 家庭, 家族, 议院, 剧场//vt.给...房子住, 收藏, 覆盖//vi.住, 躲藏(up)国"
hovel,[5hCvEl],"n.(简陋而不适于居住的)小屋, 杂物间, 家畜小屋"
howl,[haul],"v.嚎叫, 怒吼, 嚎啕大哭, 喝住, 号叫//n.嚎叫, 怒号, 嚎哭"
hubbub,[5hQbQb],"n.吵闹声, 呐喊声, 叫嚷声"
human,[5hju:mEn],"n.人, 人类//adj.人的, 人类的, 人性的, 有同情心的"
humane,[hju:5mein],adj.仁慈的
humid,[5hju:mid],"adj.充满潮湿的, 湿润的, 多湿气的"
humidity,[hju:5miditi],"n.湿气, 潮湿, 湿度<美>沼泽中的肥沃高地"
humiliate,[hju(:)5milieit],"v.羞辱, 使丢脸, 耻辱"
humorous,[5hju:mErEs],"adj.富幽默感的, 滑稽的, 诙谐的, 想入非非的, 异想天开的"
hump,[hQmp],"n.驼峰, 驼背, 小园丘, 峰丘//v.(使)隆起, 弓起"
hunch,[hQntF],"n.圆形之隆起物, 肉峰, 预感, 大块//vt.弯腰驼背, 弓起背部, 耸肩//vi.向前移动, 隆起"
hunger,[5hQNgE],"n.饥饿, 欲望, 渴望//v.饥饿"
hurdle,[5hE:dl],"n.篱笆, 栏, 障碍, 跨栏, 活动篱笆//v.用篱笆围住, 跳过(栏栅), 克服(障碍)嫉?产生动力(尤指电力)声, 恰巧"
hurl,[hE:l],"n.<俚>[棒球]用力或猛烈的投掷//vt.用力投掷, 愤慨地说出, 丢下, 推翻//vi.猛投, 猛掷"
hurricane,[5hQrikEn; -kin],"n.飓风, 狂风"
husbandry,[5hQzbEndri],n.管理
husky,[5hQski],"adj.谷的, 像谷的, (声音)沙哑的, 嘶哑的"
hustle,[5hQsl],"n.急速活动, 挤, 推, 拥挤喧嚷//vt.驱赶, 驱逐, 乱挤, 硬逼（某人）买或做事, 强夺//vi.硬挤过去"
hybrid,[5haibrid],"n.杂种, 混血儿, 混合物//adj.混合的, 杂种的"
hydrangea,[hai5dreindViE],n.[植] 八仙花属
hydrogen,[5haidrEudVEn],n.氢
hygiene,[5haidVi:n],"n.卫生, 卫生学"
hygienically,[],adv.卫生地
hypothesis,[hai5pCWisis],n.假设
iceberg,[5aisbEg],"n.冰山, 冷冰冰的人"
idea,[ai5diE],"n.想法, 念头, 意见, 主意, 思想, 观念, 概念"
identical,[ai5dentikEl],"adj.同一的, 同样的"
identify,[ai5dentifai],"vt.识别, 鉴别, 把...和...看成一样//v.确定"
ideology,[7aidi5ClEdVi; id-],n.意识形态
idiocy,[5idiEsi],"n.白痴, 白痴的行为"
idiosyncrasy,[7idiE5siNkrEsi],"n.特质, 特性"
idiot,[5idiEt],"n.白痴, 愚人, 傻瓜"
idiotic,[7idi5Ctik],adj.白痴般的
idol,[5aidl],"n.偶像, 崇拜物, 幻象, [逻]谬论"
idyllic,[ai5dilik; i5dilik],"adj.田园短诗的, 牧歌的, 生动逼真的"
if,[if],"conj.(表条件)如果, (表假设)要是, 是否, 即使//n.条件, 设想"
igneous rock,[],火成岩
ignite,[ig5nait],"v.点火, 点燃"
ignoble,[ig5nEubl],adj.不光彩的
ignominious,[ignE5miniEs],"adj.可耻的, 不光彩的, 下流的"
ignoramus,[7ignE5reimEs],"n.不学无术的人, 无知识的人"
ignorance,[5ignErEns],"n.无知, 不知"
ignorant,[5ignErEnt],adj.无知的
illegible,[i5ledVEbl],"adj.难辨认的, 字迹模糊的"
illegitimate,[7ili5dVitimit],"adj.违法的, 非嫡出的, 庶生的, 私生的, 不合理的, 不合逻辑的//n.非嫡出子, 庶子//vt.认为违法, 认做私生子"
illicit,[i5lisit],adj.违法的
illiterate,[i5litErit],"n.文盲//adj.不识字的, 没受教育的"
illuminate,[i5lju:mineit],"vt.照明, 照亮, 阐明, 说明, 使灿烂, 以灯火装饰(街道等)//vi.照亮"
illusion,[i5lu:VEn; i5lju:-],n.幻想
illustrate,[5ilEstreit],"vt.举例说明, 图解, 加插图于, 阐明//vi.举例"
illustrious,[i5lQstriEs],adj.杰出的
image,[5imidV],"n.图象, 肖像, 偶像, 形象化的比喻, 极为相象, 映像, 典型//vt.想象, 作...的像, 反映, 象征"
imaginable,[i5mAdVinEbl],"adj.可想象的, 可能的"
imaginary,[i5mAdVinEri],"adj.假想的, 想象的, 虚构的"
imaginary number,[],虚数
imaginative,[i5mAdVinEtiv],"adj.想象的, 虚构的"
imagine,[i5mAdVin],"vt.想象, 设想"
imbibe,[im5baib],v.吸收
imbue,[im5bju:],v.浸透
imitate,[5imiteit],"vt.模仿, 仿效, 仿制, 仿造//v.模仿"
immediate,[i5mi:djEt],"adj.直接的, 紧接的, 紧靠的, 立即的, 知觉的"
immense,[i5mens],"adj.极广大的, 无边的, <口>非常好的"
immerse,[i5mE:s],"vt.沉浸, 使陷入"
immigrate,[5imigreit],vt.使移居入境//vi.移来
imminent,[5iminEnt],"adj.即将来临的, 逼近的"
immobility,[],"n.牢固, 不动, 固定"
immodesty,[i5mCdisti],无礼
immolate,[5imEuleit],"vt.牺牲, 献出, 献祭"
immortal,[i5mC:tl],adj.不朽的
immune,[i5mju:n],adj.免疫的
impact,[5impAkt],"n.碰撞, 冲击, 冲突, 影响, 效果//vt.挤入, 撞击, 压紧, 对...发生影响"
impair,[im5pZE],v.削弱
impale,[im5peil],"vt.刺穿, (作为刑罚)把...钉在尖桩上, 使陷于苦境, (以犀利地目光)逼视某人"
impart,[im5pB:t],"vt.给予(尤指抽象事物), 传授, 告知, 透露"
impartial,[im5pB:FEl],"adj.公平的, 不偏不倚的"
impasse,[Am5pB:s; im-],n.僵局
impassible,[im5pAsEbl],"adj.不觉痛苦的, 不受伤害的无感觉的"
impassioned,[im5pAF(E)nd],adj.热情洋溢的
impassive,[im5pAsiv],adj.冷漠的
impatient,[im5peiFEnt],"adj.不耐烦的, 急躁的, 不耐心的"
impeach,[im5pi:tF],"vt.[律]控告, 检举, <主美>弹劾, 怀疑"
impeccable,[im5pekEbl],"adj.没有缺点的, 不会做坏事的"
impel,[im5pel],"vt.推动, 推进, 激励, 驱使, 逼迫"
imperative,[im5perEtiv],"n.命令, 诫命, 需要, 规则, 祈使语气//adj.命令的, 强制的, 紧急的, 必要的, 势在必行的, [语法]祈使的"
impertinent,[im5pE:tinEnt],"adj.无关的, 鲁莽的, 不相干的"
impervious,[im5pE:vjEs],"adj.不让进入, 不会受到损伤的, 密封的, 不受影响的"
impetuous,[im5petjuEs],"adj.冲动的, 猛烈的, 激烈的"
impetus,[5impitEs],"n.推动力, 促进"
impinge,[im5pindV],v.撞击
impious,[5impiEs],"adj.不尊敬的, 无信仰的, 不虔诚的"
implement,[5implimEnt],"n.工具, 器具//vt.贯彻, 实现//v.执行"
implicate,[5implikeit],"vt.使牵连其中, 含意, 暗示//n.包含的东西"
implicit,[im5plisit],"adj.暗示的, 盲从的, 含蓄的, 固有的, 不怀疑的, 绝对的"
imply,[im5plai],"vt.暗示, 意味"
important,[im5pC:tEnt],"adj.重要的, 重大的, 有权力的, 有地位的"
importune,[im5pC:tju:n],v.强求
imposing,[im5pEuziN],"adj.使人难忘的, 壮丽的"
impotence,[`impEtEns],"n.无力, 虚弱, 无效, [医]阳萎"
imprecate,[5imprikeit],"vt.祈求, 诅咒"
impressionism,[im5preFEniz(E)m],"n.印象派艺术家, 印象流派"
impressively,[],adv.令人难忘地
imprisonment,[im`prizEnmEnt],n.关押
impromptu,[im5prCmptju:],"n.即席演出, 即兴曲//adj.即席的//adv.即席地, 未经准备地"
impropriety,[7imprE5praiEti],"n.不适当, 不适当的事物"
improvident,[im5prCvidEnt],"adj.无远见的, 浪费的"
improvise,[5imprEvaiz],v.临时准备
imprudent,[im5pru:dEnt],"adj.轻率的, 鲁莽的"
impudent,[5impjudEnt],"adj.放肆无礼的, ,厚颜无耻的"
impulse,[5impQls],"n.推动, 刺激, 冲动, 推动力//vt.推动"
impulsive,[im5pQlsiv],adj.冲动的
impunity,[im5pju:niti],"n.不受惩罚, 免罚, 无患"
impure,[im5pjuE],adj.不纯的
impurity,[im5pjuEriti],"n.杂质, 混杂物, 不洁, 不纯"
impute,[im5pju:t],"vt.归罪于, 归咎于, 归因于"
inadvertent,[7inEd5vE:tEnt],"adj.不注意的, 疏忽的, 无意中做的"
inaugurate,[i5nC:gjureit],"vt.举行就职典礼, 创新, 开辟, 举行开幕(落成、成立)典礼."
inborn,[5in5bC:n],"adj.天生的, 生来的, 先天的"
incapacitate,[7inkE5pAsiteit],"vt.使无能力, 使不能胜任"
incarcerate,[in5kB:sEreit],"vt.把...关进监狱, 监禁, 幽闭"
incense,[in5sens],"n.熏香, 熏香的烟//vt.激怒"
incentive,[in5sentiv],n.动机//adj.激励的
incessant,[in5sesnt],"adj.不断的, 不停的"
incipient,[in5sipiEnt],adj.初始的
incisive,[in5saisiv],"adj.深刻的, 尖锐的, 激烈的"
incite,[in5sait],"vt.激动, 煽动"
inclined,[in5klaind],倾向...的
incoherent,[7inkEu5hiErEnt],"adj.不连贯的, 语无伦次的"
incompatible,[7inkEm5pAtEbl],"adj.性质相反的, 矛盾的, 不调和的"
incompetent,[in5kCmpitEnt],"adj.不合格的, 不胜任的//n.无能力者"
inconceivable,[7inkEn5si:vEbl],"adj.不能想像的, 难以相信的"
incongruity,[7inkCN5gru(:)iti],"n.不调和的, 不适宜的"
incongruous,[in5kCNgruEs],"adj.不调和的, 不适宜的"
incorruptible,[7inkE5rQptEbl],"adj.不易败的, 不被买的, 清廉的"
incredible,[in5kredEbl],adj.<口>难以置信的
incredulity,[7inkri5dju:liti],n.怀疑
incriminate,[in5krimi7neit],"vt.控告...有罪, 使负罪, 控告"
inculcate,[in5kQlkeit],v.谆谆劝导
incur,[in5kE:],v.招致
indecent,[in5di:snt],"adj.下流的, 猥亵的, <口>不象样的, 不妥当的"
indefatigable,[7indi5fAtigEbl],adj.不知疲倦的
indefinite,[in5definit],"adj.模糊的, 不确定的, [语]不定的"
indemnify,[in5demnifai],v.赔偿
indemnity,[in5demniti],"n.保证物, 赔偿物, 赔款, 补偿, 保证"
indent,[in5dent],"n.缩进, 契约, 订货单, 凹痕//vi.切割成锯齿状//vt.(印刷, 书写)缩排, 定货, 印凹痕"
indicate,[5indikeit],"vt.指出, 显示, 象征, 预示, 需要, 简要地说明"
indictment,[in5daitmEnt],n.控告
indifference,[in5difrEns],n.不关心
indifferent,[in5difErEnt],adj.无关紧要的
indigenous,[in5didVinEs],adj.本土的
indigent,[5indidVEnt],"adj.贫乏的, 穷困的"
indignant,[in5dignEnt],"adj.愤怒的, 愤慨的"
indignity,[in5digniti],"n.轻蔑, 侮辱, 侮辱的行为"
indite,[in5dait],"vt.写(文章,信等)创作, 赋诗, 创作"
indolent,[5indElEnt],"adj.懒惰的, 不痛的"
indomitable,[in5dCmitEbl],"adj.不屈服的, 不屈不挠的"
induce,[in5dju:s],"vt.劝诱, 促使, 导致, 引起, 感应"
industrial,[in5dQstriEl],"adj.工业的, 产业的, 实业的, 从事工业的//n.工业工人, [商]工业股票"
ineligible,[in5elidVEbl],adj.不合格的
inept,[i5nept],"adj.不适当的, 无能的, 不称职的"
inert,[i5nE:t],"adj.无活动的, 惰性的, 迟钝的"
inertia,[i5nE:FjE],"n.惯性, 惯量"
inevitable,[in5evitEbl],"adj.不可避免的, 必然的"
inevitably,[],adv.不可避免
infallible,[in5fAlEbl],"adj.没有错误的, 确实可靠的//n.一贯正确的人"
infamous,[5infEmEs],adj.声名狼籍的
infatuated,[in`fAtjueitid],"adj.昏头昏脑的, 入迷的"
infect,[in5fekt],"vt.[医] 传染, 感染"
infectious,[in5fekFEs],"adj.有传染性的, 易传染的, 有感染力的"
infer,[in5fE:],v.推断
inferior,[in5fiEriE],"adj.下等的, 下级的, 差的, 次的, 自卑的, 劣等的"
infirm,[in5fE:m],"adj.弱的, 不坚固的, 柔弱的"
infirmity,[in5fE:miti],"n.虚弱, 衰弱, 缺点"
inflation,[in5fleiFEn],"n.胀大, 夸张, 通货膨胀, (物价)暴涨"
inflexible,[in5fleksEbl],"adj.不屈的, 不屈挠的, 顽固的"
inflict,[in5flikt],v.造成
influence on,[],对...有影响
influential,[7influ5enFEl],"adj.有影响的, 有势力的"
influx,[5inflQks],n.流入
informal,[in5fC:mEl],"adj.不正式的, 不拘礼节的"
information,[7infE5meiFEn],"n.通知, 报告, 消息, 情报, 知识, 见闻, 资料, 起诉//信息"
infraction,[in5frAkFEn],"n.违反, 侵害"
infringe,[in5frindV],"v.破坏, 侵犯, 违反"
infuse,[in5fju:z],"vt.灌输, 注入, 沏或泡(茶、药等), 浸渍, 鼓舞//vi.泡, 注"
ingenious,[in5dVi:njEs],"adj.机灵的, 有独创性的, 精制的, 具有创造才能"
inhabit,[in5hAbit],"vt.居住于, 存在于, 占据, 栖息"
inhabitant,[in5hAbitEnt],"n.居民, 居住者"
inherent,[in5hiErEnt],"adj.固有的, 内在的, 与生俱来的"
inhuman,[in5hju:mEn],adj.野蛮的
initial,[i5niFEl],"adj.最初的, 词首的, 初始的//n.词首大写字母"
initiate,[i5niFieit],"vt.开始, 发动, 传授//v.开始, 发起"
inject,[in5dVekt],"vt.注射, 注入"
injure,[5indVE],"vt.损害, 伤害//v.伤害"
injurious,[in5dVuEriEs],adj.有害的
ink,[iNk],n.墨水
inkling,[5iNkliN],"n.暗示, 略微的提示, 略知, 模糊概念"
innate,[5ineit],"adj.先天的, 天生的"
innocent,[5inEsnt],"adj.(～ of) 清白的, 无罪的, 天真的, 无知的"
innovation,[7inEu5veiFEn],"n.改革, 创新"
innuendo,[7inju5endEu],"n.暗讽(的话), 影射(的话)//vi.影射//vt.旁敲侧击地表达, 暗示"
innumerable,[i5nju:mErEbl],"adj.无数的, 数不清的"
inordinate,[in5C:dinit],adj.紊乱的
inpatient,[5in7peiFEnt],n.住院病人
inquiry,[in5kwaiEri],"n.质询, 调查"
inquisitive,[in5kwizitiv],adj.好奇的
insane,[in5sein],"adj.患精神病的, 精神病患者的, 极愚蠢的"
insect,[5insekt],"n.昆虫, 卑鄙的人//adj..虫的, 虫子一样的, 对付虫子的"
insert,[in5sE:t],"vt.插入, 嵌入//n.插入物"
insidious,[in5sidiEs],adj.阴险的
insight into,[],洞察...
insinuate,[in5sinjueit],"vt.使逐步而巧妙地取得, 使迂回地潜入(或挤入), 使慢慢滋长, 含沙射影地说"
insist,[in5sist],"v.坚持, 强调"
insomnia,[in5sCmniE],"n.失眠, 失眠症"
inspect,[in5spekt],"vt.检查, 视察//v.检查"
install,[in5stC:l],"vt.安装, 安置, 使就职"
instantaneous,[7instEn5teinjEs],"adj.瞬间的, 即刻的, 即时的"
instigate,[5instigeit],v.鼓动
instill,[in5stil],vt.慢慢地灌输
instinct for,[],有...的天分
instinctive,[in5stiNktiv],adj.本能的
institute,[5institju:t],"n.学会, 学院, 协会//vt.创立, 开始, 制定, 开始(调查), 提起(诉讼)"
instruct,[in5strQkt],"vt.教, 教导, 命令, 指示, 通知"
instrument,[5instrumEnt],"n.工具, 手段, 器械, 器具, 手段"
instrumental,[7instru5mentl],"adj.仪器的, 器械的, 乐器的"
insubordinate,[7insE5bC:dnit],"adj.不顺从的, 不听话的"
insufferable,[in5sQfErEbl],adj.难以忍受的
insular,[5insjulE],"adj.海岛的, 岛民的, 岛特有的, 孤立的, 超然物外的"
insult,[5insQlt],"n.侮辱, 凌辱//vt.侮辱, 凌辱"
insurgent,[in5sE:dVEnt],adj.起义的
integral,[5intigrEl],"adj.完整的, 整体的, [数学] 积分的, 构成整体所需要的//n.[数学] 积分, 完整, 部分"
integrate,[5intigreit],"vt.使成整体, 使一体化, 求...的积分//v.结合"
integrity,[in5tegriti],"n.正直, 诚实, 完整, 完全, 完整性"
intellectual,[7inti5lektjuEl],"adj.智力的, 有智力的, 显示智力的//n.知识分子"
intelligence,[in5telidVEns],"n.智力, 聪明, 智能"
intelligent,[in5telidVEnt],"adj.聪明的, 伶俐的, 有才智的, [计]智能的"
intelligible,[in5telidVEbl],adj.可理解的
intense,[in5tens],"adj.强烈的, 剧烈的, 热切的, 热情的, 激烈的"
intensify,[in5tensifai],vt.加强//vi.强化
intensive,[in5tensiv],"adj.强烈的, 精深的, 透彻的, [语法]加强语气的//n.加强器"
intercede,[7intE(:)5si:d],v.调解
intercept,[7intE5sept],"vt.中途阻止, 截取"
interdisciplinary,[7intE(:)5disiplinEri],各学科间的
interest,[5intrist],"n.兴趣, 关心, 重要性, 影响, 利息,利益, 利害//vt.使发生兴趣, 引起...的注意"
interest in,[],对...有兴趣
interfere,[7intE5fiE],"vi.干涉, 干预, 妨碍, 打扰"
interior,[in5tiEriE],"adj.内部的, 内的//n.内部"
interior angle,[],内角
interject,[7intE(:)5dVekt],"vt.插嘴, 突然插入"
interloper,[5intElEupE(r)私利)干涉他人事务者;无执照营业者],"n.闯入者,(为图私利)干涉他人事务者,无执照营业者"
interlude,[5intE(:)7lu:d; -lju:d],"n.两段时期中间之时间, 间隔的时间, 戏剧或歌剧两幕间, 圣诗等两段之间之间歇"
intermediary,[7intE5mi:diEri],"n.仲裁者, 调解者, 中间物//adj.中间的, 媒介的"
intermediate,[7intE5mi:djEt],adj.中间的//n.媒介
interment,[in5tE:mEnt],"n.埋葬, 葬礼"
internal,[in5tE:nl],"adj.内在的, 国内的"
interpret,[in5tE:prit],"v.解释, 说明, 口译, 通译, 认为是...的意思"
interrogate,[in5terEgeit],"vt.审问, 询问//v.审问"
interrupt,[7intE5rQpt],"vt.打断(正在说话或动作的人), 中断, 妨碍, 插嘴//vi.打断(别人的讲话或行动)//n.(发给电脑的)中断信号"
intersect,[7intE5sekt],"vt.横断//vi.(直线)相交, 交叉"
intervene,[7intE5vi:n],"vi.干涉, 干预, 插入, 介入, (指时间)介于其间//v.干涉"
intimacy,[5intimEsi],"n.亲密, 隐私, 亲昵行为(尤指不正当的性关系)的, 强制的, 紧急的,"
intimate,[5intimit],"adj.亲密的, 隐私的//vt.宣布, 明白表示//n.熟友"
intimidate,[in5timideit],v.胁迫
intimidation,[in7timi5deiFEn],胁迫
intolerable,[in5tClErEbl],"adj.无法忍受的, 难耐的"
intrepid,[in5trepid],"adj.无畏的, 勇猛的"
intricate,[5intrikit],"adj.复杂的, 错综的, 难以理解的"
intrinsic,[in5trinsik],"adj.(指价值、性质)固有的, 内在的, 本质的"
intrude,[in5tru:d],"vi.闯入, 侵入//vt.强挤入, 把(自己的思想)强加于人"
intuition,[7intju(:)5iFEn],"n.直觉, 直觉的知识"
inure,[i5njuE],vt.使习惯//vi.生效
invade,[in5veid],"vt.侵略, 侵袭, 拥挤"
invalid,[in5vAlid],"n.病人, 残废者//adj.有病的, 残废的"
invalidate,[in5vAlideit],vt.使无效
invaluable,[in5vAljuEbl],"adj.无价的, 价值无法衡量的"
invasion,[in5veiVEn],n.入侵
invective,[in5vektiv],"n.恶言漫骂//adj.漫骂的, 非难的, 恶言的"
inventory,[5invEntri],"n.详细目录, 存货, 财产清册, 总量"
inverse,[5in5vE:s],"adj.倒转的, 反转的//n.反面//v.倒转"
invert,[in5vE:t],"adj.转化的//vt.使颠倒, 使转化//n.颠倒的事物"
investigate,[in5vestigeit],"v.调查, 研究"
invite,[in5vait],"vt.邀请, 引起//n.邀请"
inviting,[in5vaitiN],"adj.引人动心的, 有魅力的"
invocation,[7invEu5keiFEn],"n.祈祷, 符咒"
invoke,[in5vEuk],v.调用
irony,[5aiErEni],"n.反话, 讽刺, 讽刺之事"
irreconcilable,[i5rekEnsailEbl],"adj.不能协调的, 矛盾的"
irrelevant,[i5relivEnt],"adj.不相关的//adj.不相关的,不切题的"
irrepressible,[7iri5presEbl],"adj.镇压不住的, 抑制不住的"
irreproachable,[7iri5prEutFEbl],"adj.无可指责的, 不可非难的, 无缺点的, 无过失的"
irresistible,[7iri5zistEbl],"adj.不可抵抗的, 不能压制的"
irresolute,[i5rezElju:t],adj.犹豫不决的
irreverent,[i5revErEnt],adj.不尊敬的
irrevocable,[i5revEkEbl],adj.不能取消的
irrigate,[5irigeit],"vt.灌溉, 修水利, 冲洗伤口, 使潮湿//vi.进行灌溉"
irrigation,[7iri5geiFEn],"n.灌溉, 冲洗"
irritable,[5iritEbl],"adj.易怒的, 急躁的"
irritate,[5iriteit],"vt.激怒, 使急躁//v.刺激"
isolate,[5aisEleit],"vt.使隔离, 使孤立, 使绝缘, 离析//n.隔离种群"
issue,[5isju:],"n.出版, 发行, (报刊等)期、号, 论点, 问题, 结果, (水, 血等的)流出//vi.发行, 流出, 造成...结果, 进行辩护, 传下//vt.使流出, 放出, 发行(钞票等), 发布(命令), 出版(书等)发给//[律]子女, 后嗣"
itinerant,[i5tinErEnt],adj.巡回的//n.巡回者
ivy,[5aivi],"n.[植]常春藤//adj.常春藤联合会的, 名牌大学的"
jangle,[5dVANgl],v.刺耳响//n.吵嚷
jar,[dVB:],"n.震动, 刺耳声, 震惊, 争吵, 罐, 广口瓶//vi.震惊, 冲突, 发刺耳声, 不一致//vt.震动, 刺激"
jealous,[5dVelEs],"adj.妒忌的, 猜疑的, 警惕的, 嫉妒的"
jeer,[dViE],"n.嘲笑, 讥讽, 戏弄//v.嘲弄, 戏弄"
jellyfish,[5dVelifiF],n.水母
jeopardy,[5dVepEdi],"n.危险, 危险"
jerk,[dVE:k],"n.性情古怪的人, 急推, 猛拉, 肌肉抽搐, (生理)反射, 牛肉干//vi.痉挛, 急拉, 颠簸地行进//vt.猛拉"
jettison,[5dVetisn; -tizn],"n.投弃, 投弃货物"
jewelry,[5dVu:Elri],"n.珠宝, 珠宝类"
jocose,[dVE5kEus],adj.诙谐的
jog,[dVCg],"n.轻推, 轻撞, 漫步//v.轻推, (使)蹒跚行进, (使)慢跑"
jolly,[5dVCli],"adj.欢乐的, 高兴的, 快活的"
jolt,[dVEult],v.摇晃//n.摇晃
journal,[5dVE:nl],"n.定期刊物, 杂志, 航海日记, 分类账"
jovial,[5dVEuvjEl; -viEl],"adj.快活的, 高兴的, 愉快的, [宗](主神)朱庇特的"
joyous,[5dVCiEs],"adj.快乐的, 高兴的"
judgment,[5dVQdVmEnt],n.判断
jug,[dVQg],"n.水壶, 监牢, [象声]模仿夜莺的叫声//vt.放入壶中, 炖, 关押//vi.模仿夜莺叫"
jumble,[5dVQmbl],"v.混杂, 搞乱//n.混乱"
junction,[5dVQNkFEn],"n.连接, 接合, 交叉点, 汇合处"
juncture,[5dVQNktFE],n.接合点
jurisdiction,[7dVuEris5dikFEn],n.权限
jurist,[5dVuErist],n.法理学家
just,[dVQst],"adj.正义的, 公正的, 正确的, 应得的, 有充分根据的//adv.正好, 仅仅, 刚才, 只是, 不过"
justify,[5dVQstifai],v.证明...是正当的
justly,[5dVQstli],"adv.公正地, 正当地, 应得地"
juvenile,[5dVu:vinail],"adj.青少年的, 幼稚的//n.青少年, 少年读物"
keep,[ki:p],"n.保持, 保养, 生计, 监狱, [史]要塞//vt.保持, 保存, 遵守, 经营, 看守, 拘留, 维持, 记(日记,帐等)//vi.保持, 继续不断"
